"","parameter","date","stream","priorMean","priorSD","postL95","postMedian","postU95","julian"
"1419","K",2017-07-08,"st11U",340,85,192.0094796,351.7102812,508.934351,189
"1420","K",2017-07-11,"st11U",340,85,194.8604283,344.5398113,497.1211784,192
"1421","K",2017-07-12,"st11U",340,85,172.2468594,335.9322953,505.3330545,193
"1422","K",2017-07-13,"st11U",340,85,196.265548,355.4654349,516.0393824,194
"1423","K",2017-07-16,"st11U",340,85,182.5627455,344.727756,496.8799268,197
"1424","K",2017-07-17,"st11U",340,85,190.1570688,350.3079567,517.9692495,198
"1425","K",2017-07-21,"st11U",340,85,171.4271466,337.631455,493.4689354,202
"1426","K",2017-07-22,"st11U",340,85,175.8059364,336.4498156,502.1237407,203
"1427","K",2017-07-23,"st11U",340,85,183.6524235,334.6645282,507.4999745,204
"1428","K",2017-07-24,"st11U",340,85,186.7017054,343.8163083,507.879219,205
"1429","K",2017-07-25,"st11U",340,85,184.991883,339.3701885,497.7630263,206
"1430","K",2017-07-26,"st11U",340,85,191.1154771,346.6142491,519.9570206,207
"1431","K",2017-07-27,"st11U",340,85,169.5491116,330.8961303,485.8515519,208
"1432","K",2017-07-28,"st11U",340,85,177.6501989,336.8972327,487.4713198,209
"1433","K",2017-07-29,"st11U",340,85,185.0459132,333.6478074,506.0508822,210
"1434","K",2017-07-30,"st11U",340,85,187.7762485,342.8227887,502.7397791,211
"1435","K",2017-07-31,"st11U",340,85,193.4939735,344.9669111,509.9636376,212
"1436","K",2017-08-01,"st11U",340,85,196.6786441,337.4008105,496.6636317,213
"1437","K",2017-08-02,"st11U",340,85,194.0729758,342.6087302,502.9294753,214
"1438","K",2017-08-03,"st11U",340,85,182.8346871,338.8525152,492.9871397,215
"1439","K",2017-08-04,"st11U",340,85,178.2886826,337.3712058,501.4778301,216
"1440","K",2017-08-05,"st11U",340,85,199.9672289,345.9060829,507.4585359,217
"1441","K",2017-08-06,"st11U",340,85,192.3304251,343.0615576,498.6995345,218
"1442","K",2017-08-07,"st11U",340,85,200.0725725,347.7869949,497.5242452,219
"1443","K",2017-08-09,"st11U",340,85,194.269274,335.5260356,496.5522883,221
"1444","K",2015-07-02,"st18",200,50,110.0565081,204.6034168,295.8603421,183
"1445","K",2015-07-03,"st18",200,50,103.1471556,203.6539851,301.9304239,184
"1446","K",2015-07-04,"st18",200,50,104.5700046,197.3027031,299.0629178,185
"1447","K",2015-07-05,"st18",200,50,108.1681527,204.7674851,296.9119939,186
"1448","K",2015-07-06,"st18",200,50,98.29260431,199.4429953,295.5486493,187
"1449","K",2015-07-07,"st18",200,50,99.86897646,200.1484613,298.7002837,188
"1450","K",2015-07-08,"st18",200,50,104.1923322,204.4974973,302.9334249,189
"1451","K",2015-07-09,"st18",200,50,104.563633,201.6731885,293.2976366,190
"1452","K",2015-07-10,"st18",200,50,99.03735841,199.9553366,306.4974512,191
"1453","K",2015-07-11,"st18",200,50,99.97790549,194.4072188,294.9565544,192
"1454","K",2015-07-12,"st18",200,50,104.5781964,200.8651676,289.9791623,193
"1455","K",2015-07-13,"st18",200,50,109.7806618,202.0592374,296.6022506,194
"1456","K",2015-07-14,"st18",200,50,101.12681,201.0050628,297.9906253,195
"1457","K",2015-07-15,"st18",200,50,102.172869,207.4117938,304.0718508,196
"1458","K",2015-07-16,"st18",200,50,96.76894641,194.7397254,292.3984283,197
"1459","K",2015-07-17,"st18",200,50,108.5469059,206.5788115,292.4660899,198
"1460","K",2015-07-18,"st18",200,50,100.5946039,201.9964185,298.5685122,199
"1461","K",2015-07-19,"st18",200,50,95.99511416,195.7238885,285.3604409,200
"1462","K",2015-07-20,"st18",200,50,105.5313117,201.0369113,296.5415098,201
"1463","K",2015-07-21,"st18",200,50,99.59943298,197.4594059,291.7384811,202
"1464","K",2015-07-22,"st18",200,50,101.9776592,201.5536376,300.4192984,203
"1465","K",2015-07-23,"st18",200,50,107.1414153,195.672845,289.6065794,204
"1466","K",2015-07-24,"st18",200,50,111.3797856,206.3525363,295.7900009,205
"1467","K",2015-07-25,"st18",200,50,105.7399949,201.3656555,289.1978929,206
"1468","K",2015-07-26,"st18",200,50,100.7689793,201.63466,297.3640592,207
"1469","K",2015-07-27,"st18",200,50,104.9834562,204.6439818,300.5059673,208
"1470","K",2015-07-28,"st18",200,50,103.270912,198.3072288,294.4223989,209
"1471","K",2015-07-29,"st18",200,50,102.760387,198.7775223,298.848532,210
"1472","K",2015-07-30,"st18",200,50,106.0281134,200.3769126,296.540182,211
"1473","K",2015-07-31,"st18",200,50,99.99342924,197.9583451,286.5630115,212
"1474","K",2015-08-01,"st18",200,50,112.8530007,199.0306115,291.3009714,213
"1475","K",2015-08-02,"st18",200,50,108.7381051,196.6871196,295.7599163,214
"1476","K",2015-08-03,"st18",200,50,102.8811788,197.2451871,293.6495601,215
"1477","K",2015-08-04,"st18",200,50,109.3853572,205.3975529,299.1527398,216
"1478","K",2015-08-05,"st18",200,50,101.8453585,199.8876615,306.0016385,217
"1479","K",2015-08-06,"st18",200,50,98.98552406,197.8072059,285.6434274,218
"1480","K",2015-08-07,"st18",200,50,107.4673305,200.7920251,295.1733876,219
"1481","K",2015-08-08,"st18",200,50,111.247923,201.9317646,297.8189622,220
"1482","K",2015-08-09,"st18",200,50,107.5769572,202.9085365,291.4054382,221
"1483","K",2016-07-01,"st18",200,50,115.2710243,201.0831626,294.6891076,183
"1484","K",2016-07-02,"st18",200,50,107.3293012,200.8314505,301.4927522,184
"1485","K",2016-07-03,"st18",200,50,107.1411603,206.7478192,299.0723577,185
"1486","K",2016-07-04,"st18",200,50,102.2163367,201.4345342,301.6433215,186
"1487","K",2016-07-05,"st18",200,50,113.5411479,202.8309383,294.1665316,187
"1488","K",2016-07-06,"st18",200,50,115.5052248,204.9554786,293.1666989,188
"1489","K",2016-07-07,"st18",200,50,104.8105056,199.3173441,297.4024606,189
"1490","K",2016-07-08,"st18",200,50,99.6493121,199.0973872,295.3453398,190
"1491","K",2016-07-09,"st18",200,50,110.5650592,206.5534612,309.2920702,191
"1492","K",2016-07-10,"st18",200,50,102.0115648,199.5320361,296.6969121,192
"1493","K",2016-07-11,"st18",200,50,109.0729947,205.4782141,305.6933007,193
"1494","K",2016-07-12,"st18",200,50,103.3459649,202.7286302,293.2073391,194
"1495","K",2016-07-13,"st18",200,50,110.0611378,205.0016696,302.2101837,195
"1496","K",2016-07-14,"st18",200,50,108.9924326,205.3882525,299.828881,196
"1497","K",2016-07-15,"st18",200,50,103.1613068,203.3212055,294.8819644,197
"1498","K",2016-07-16,"st18",200,50,107.1880081,203.5484143,295.5146503,198
"1499","K",2016-07-17,"st18",200,50,106.919751,201.0113757,299.2441358,199
"1500","K",2016-07-18,"st18",200,50,101.2889161,198.0552013,292.2132386,200
"1501","K",2016-07-19,"st18",200,50,101.7203101,197.887021,289.7169255,201
"1502","K",2016-07-20,"st18",200,50,106.1808389,202.1915572,300.9402603,202
"1503","K",2016-07-21,"st18",200,50,117.2558981,206.1338312,302.1936697,203
"1504","K",2016-07-22,"st18",200,50,106.8230387,206.0781003,303.9854355,204
"1505","K",2016-07-23,"st18",200,50,106.6674218,205.3148092,301.9343174,205
"1506","K",2016-07-24,"st18",200,50,101.4043084,197.7356148,294.3184926,206
"1507","K",2016-07-25,"st18",200,50,109.2504226,204.691684,300.6293351,207
"1508","K",2016-07-26,"st18",200,50,98.58640815,195.4244157,297.8318879,208
"1509","K",2016-07-27,"st18",200,50,101.3267762,199.6096987,301.5335836,209
"1510","K",2016-07-28,"st18",200,50,103.2225173,200.6371644,299.5884286,210
"1511","K",2016-07-29,"st18",200,50,112.7180665,206.4429353,307.2559274,211
"1512","K",2016-07-30,"st18",200,50,106.4387995,195.1405488,300.3685148,212
"1513","K",2016-07-31,"st18",200,50,117.192551,205.8785846,301.9290406,213
"1514","K",2016-08-01,"st18",200,50,113.6832095,204.3727991,299.1483976,214
"1515","K",2016-08-02,"st18",200,50,109.2135782,200.1676487,290.9818937,215
"1516","K",2016-08-03,"st18",200,50,107.6466018,199.3062119,294.6562955,216
"1517","K",2016-08-04,"st18",200,50,112.1069911,203.6919349,297.3799112,217
"1518","K",2016-08-05,"st18",200,50,110.0291396,201.9864434,298.469394,218
"1519","K",2016-08-06,"st18",200,50,121.1229932,206.9026188,300.8043715,219
"1520","K",2016-08-07,"st18",200,50,122.7038825,203.4475942,294.8139742,220
"1521","K",2016-08-08,"st18",200,50,113.8802985,200.6721653,293.4680595,221
"1522","K",2016-08-09,"st18",200,50,107.4671751,202.3817635,287.3499776,222
"1523","K",2016-08-10,"st18",200,50,117.2525576,208.1833837,293.3045673,223
"1524","K",2016-08-11,"st18",200,50,112.7281563,203.1435141,293.9636675,224
"1525","K",2016-08-12,"st18",200,50,104.7629517,193.3787492,280.4720974,225
"1526","K",2017-07-02,"st18",200,50,104.7419575,202.0743735,301.9529918,183
"1527","K",2017-07-03,"st18",200,50,106.6918256,203.8631253,294.1758094,184
"1528","K",2017-07-04,"st18",200,50,109.6050379,200.9308621,298.4695087,185
"1529","K",2017-07-05,"st18",200,50,107.0524703,201.0105649,294.349195,186
"1530","K",2017-07-06,"st18",200,50,94.60687082,197.3308858,296.3614323,187
"1531","K",2017-07-07,"st18",200,50,104.1259831,197.0350011,291.4978412,188
"1532","K",2017-07-08,"st18",200,50,111.9724665,202.3564165,287.586899,189
"1533","K",2017-07-11,"st18",200,50,109.5898538,206.2473572,303.4203363,192
"1534","K",2017-07-13,"st18",200,50,109.1090888,200.5542101,299.6520007,194
"1535","K",2017-07-15,"st18",200,50,93.63322575,195.8650609,291.7996887,196
"1536","K",2017-07-16,"st18",200,50,103.5806102,197.2406509,300.1165123,197
"1537","K",2017-07-17,"st18",200,50,100.7298621,200.0638129,288.1626293,198
"1538","K",2017-07-19,"st18",200,50,102.8054701,202.7472722,298.4874788,200
"1539","K",2017-07-20,"st18",200,50,105.0578874,200.3994846,302.1281608,201
"1540","K",2017-07-21,"st18",200,50,108.4344682,202.5371025,299.5532147,202
"1541","K",2017-07-22,"st18",200,50,114.0322437,201.8547025,293.9057444,203
"1542","K",2017-07-23,"st18",200,50,93.97105626,198.4594473,298.259683,204
"1543","K",2017-07-24,"st18",200,50,98.11988272,199.1945467,292.6212595,205
"1544","K",2017-07-25,"st18",200,50,105.8151542,203.3102178,308.9873338,206
"1545","K",2017-07-26,"st18",200,50,97.07585656,201.7611714,308.362131,207
"1546","K",2017-07-27,"st18",200,50,111.5214353,209.2838156,302.7751641,208
"1547","K",2017-07-28,"st18",200,50,101.2879394,198.994275,296.6421257,209
"1548","K",2017-07-29,"st18",200,50,103.3195533,200.1363489,295.7490577,210
"1549","K",2017-07-30,"st18",200,50,105.1015193,199.5254384,291.8729509,211
"1550","K",2017-07-31,"st18",200,50,98.93190553,195.7553358,300.726205,212
"1551","K",2017-08-01,"st18",200,50,113.7933658,201.2363471,287.2141701,213
"1552","K",2017-08-02,"st18",200,50,112.5767372,205.2199063,306.7786899,214
"1553","K",2017-08-03,"st18",200,50,109.5642369,198.0946978,299.8207897,215
"1554","K",2017-08-04,"st18",200,50,99.26171428,195.5576465,294.7214782,216
"1555","K",2017-08-05,"st18",200,50,106.2965682,201.210733,301.7752847,217
"1556","K",2017-08-06,"st18",200,50,96.92087372,199.5320274,298.7615103,218
"1557","K",2017-08-07,"st18",200,50,108.6974059,203.2878969,304.3506693,219
"1558","K",2017-08-08,"st18",200,50,102.6804529,204.726658,307.5080758,220
"1559","K",2017-08-09,"st18",200,50,106.3764024,203.5362374,303.6915698,221
"1560","K",2015-07-02,"st9",606.2923504,151.5730876,334.5693943,627.3450048,911.667333,183
"1561","K",2015-07-03,"st9",683,170.75,341.3778495,682.7202895,1001.805702,184
"1562","K",2015-07-04,"st9",683,170.75,364.2830702,673.4863062,992.147349,185
"1563","K",2015-07-05,"st9",683,170.75,390.15112,696.5180729,1034.240543,186
"1564","K",2015-07-06,"st9",683,170.75,403.641027,700.1004463,1003.248651,187
"1565","K",2015-07-07,"st9",628.2463048,157.0615762,352.414856,637.089016,948.1037186,188
"1566","K",2015-07-08,"st9",683,170.75,373.4027911,684.583697,1021.6438,189
"1567","K",2015-07-09,"st9",539.9803628,134.9950907,326.0223262,550.7683518,790.8359744,190
"1568","K",2015-07-10,"st9",527.5116565,131.8779141,286.6469036,525.7317379,793.8090364,191
"1569","K",2015-07-11,"st9",529.6330547,132.4082637,278.4491382,531.0682892,773.3509163,192
"1570","K",2015-07-12,"st9",683,170.75,353.0088616,677.8182002,1017.11158,193
"1571","K",2015-07-13,"st9",683,170.75,363.8293589,687.6478981,992.065559,194
"1572","K",2015-07-14,"st9",683,170.75,364.0395266,692.7047934,1008.214547,195
"1573","K",2015-07-15,"st9",600.1529193,150.0382298,330.992802,609.2803577,887.8126119,196
"1574","K",2015-07-16,"st9",642.4963064,160.6240766,361.0907431,648.1864421,918.3027059,197
"1575","K",2015-07-17,"st9",490.7228667,122.6807167,262.6250704,497.6788661,733.7996251,198
"1576","K",2015-07-18,"st9",631.3678816,157.8419704,351.8811763,627.9416894,904.3471318,199
"1577","K",2015-07-20,"st9",513.3291697,128.3322924,287.8863424,524.3574502,763.0465714,201
"1578","K",2015-07-21,"st9",483.1279632,120.7819908,263.2287297,492.0179657,713.7307075,202
"1579","K",2015-07-22,"st9",589.4804208,147.3701052,333.8282764,591.1611995,869.2350258,203
"1580","K",2015-07-23,"st9",387.9336926,96.98342315,221.2271299,394.9532564,571.6585651,204
"1581","K",2015-07-24,"st9",387.2438575,96.81096438,235.0250804,401.7685507,578.6170073,205
"1582","K",2015-07-25,"st9",312,78,167.5817152,316.1606219,456.933341,206
"1583","K",2015-07-26,"st9",435.565273,108.8913182,243.7650164,442.7405793,652.6700347,207
"1584","K",2015-07-27,"st9",312,78,164.5119812,315.5377505,472.2691857,208
"1585","K",2015-07-28,"st9",312,78,177.1051912,321.2906568,474.255985,209
"1586","K",2015-07-29,"st9",312,78,175.3973882,316.4759205,456.2154921,210
"1587","K",2015-07-30,"st9",321.4501619,80.36254046,184.4106919,328.2833896,479.905621,211
"1588","K",2015-07-31,"st9",547.642152,136.910538,310.2120637,571.5489389,836.5029998,212
"1589","K",2015-08-01,"st9",382.4113533,95.60283832,188.0154343,371.6674882,558.2048555,213
"1590","K",2015-08-02,"st9",312,78,162.1083186,317.7033247,476.5721843,214
"1591","K",2015-08-03,"st9",386.6655838,96.66639595,223.8498442,391.8935465,578.060464,215
"1592","K",2015-08-04,"st9",369.7717281,92.44293202,204.4117774,375.944703,551.5663737,216
"1593","K",2015-08-05,"st9",481.3569683,120.3392421,286.6786185,496.2670138,716.2116814,217
"1594","K",2015-08-06,"st9",627.8746036,156.9686509,365.7334926,649.4785894,912.1467172,218
"1595","K",2015-08-07,"st9",644.7046507,161.1761627,381.6832093,646.330489,936.1030173,219
"1596","K",2015-08-08,"st9",683,170.75,410.7807251,717.9124106,1003.49698,220
"1597","K",2015-08-09,"st9",683,170.75,414.7919741,694.6162237,1006.405754,221
"1598","K",2016-07-01,"st9",683,170.75,383.3720211,720.595951,1073.640967,183
"1599","K",2016-07-02,"st9",683,170.75,381.7933371,678.9395992,999.4216617,184
"1600","K",2016-07-03,"st9",683,170.75,394.2039603,714.4691386,1031.413141,185
"1601","K",2016-07-04,"st9",683,170.75,364.2206614,705.283894,1031.334441,186
"1602","K",2016-07-05,"st9",683,170.75,399.1443445,704.1055748,1014.987575,187
"1603","K",2016-07-06,"st9",683,170.75,391.237773,696.0051545,1009.34944,188
"1604","K",2016-07-07,"st9",683,170.75,369.624561,691.384258,991.4049775,189
"1605","K",2016-07-08,"st9",683,170.75,361.5475987,696.9465144,1022.688827,190
"1606","K",2016-07-09,"st9",683,170.75,390.2197981,706.5842904,1007.577414,191
"1607","K",2016-07-10,"st9",683,170.75,388.6773858,688.1170115,1024.442755,192
"1608","K",2016-07-11,"st9",683,170.75,360.5101344,706.4236493,1012.277619,193
"1609","K",2016-07-12,"st9",683,170.75,393.1719459,708.4078238,1063.153626,194
"1610","K",2016-07-13,"st9",683,170.75,415.5549471,709.8509569,1045.12374,195
"1611","K",2016-07-14,"st9",683,170.75,398.7787767,724.278184,1026.919513,196
"1612","K",2016-07-15,"st9",683,170.75,394.4561886,705.2528212,1045.172962,197
"1613","K",2016-07-16,"st9",683,170.75,389.3952605,714.2173321,1016.527022,198
"1614","K",2016-07-17,"st9",585.4027278,146.3506819,329.9827043,594.5447636,878.7398555,199
"1615","K",2016-07-18,"st9",442.187651,110.5469128,264.5947996,453.9978061,646.3192251,200
"1616","K",2016-07-19,"st9",436.4073431,109.1018358,250.7011296,449.0466524,655.354669,201
"1617","K",2016-07-20,"st9",312,78,178.2192455,315.7647422,462.138521,202
"1618","K",2016-07-21,"st9",452.4171272,113.1042818,264.5609633,458.6197027,665.3987491,203
"1619","K",2016-07-22,"st9",414.0054741,103.5013685,212.7225796,420.0027086,620.2160201,204
"1620","K",2016-07-23,"st9",365.4701946,91.36754865,191.2153315,375.9610898,538.5991018,205
"1621","K",2016-07-24,"st9",312,78,191.260139,322.9767874,466.6966481,206
"1622","K",2016-07-25,"st9",331.3888467,82.84721167,191.6078021,340.0287974,498.9515616,207
"1623","K",2016-07-26,"st9",336.8608338,84.21520844,194.746698,354.9725098,526.1166717,208
"1624","K",2016-07-27,"st9",377.252078,94.3130195,218.5860408,394.2912275,571.0151308,209
"1625","K",2016-07-28,"st9",355.6286772,88.9071693,191.2454892,361.266492,532.9241349,210
"1626","K",2016-07-29,"st9",414.3308125,103.5827031,233.6931008,419.8422089,629.6821431,211
"1627","K",2016-07-30,"st9",398.3822523,99.59556306,221.5178936,399.8388049,592.0048675,212
"1628","K",2016-07-31,"st9",458.3225548,114.5806387,267.9423595,466.3225923,684.5853701,213
"1629","K",2016-08-01,"st9",508.5105561,127.127639,328.4143242,531.2236381,751.3707409,214
"1630","K",2016-08-02,"st9",519.8428146,129.9607037,314.7355198,524.9079502,778.3096623,215
"1631","K",2016-08-03,"st9",532.8295878,133.2073969,338.3929641,546.2435067,797.1194775,216
"1632","K",2016-08-04,"st9",512.6726634,128.1681659,291.7717878,529.8794141,773.467927,217
"1633","K",2016-08-05,"st9",578.6005903,144.6501476,345.4980898,600.8924883,868.6020425,218
"1634","K",2016-08-06,"st9",541.6720381,135.4180095,320.7719521,549.9993664,788.3318167,219
"1635","K",2016-08-07,"st9",583.4631852,145.8657963,369.9069337,614.8347578,863.3337812,220
"1636","K",2016-08-08,"st9",663.1684779,165.7921195,394.3261506,689.4103669,994.8009984,221
"1637","K",2016-08-09,"st9",666.8627004,166.7156751,397.9773857,694.8326906,993.0865381,222
"1638","K",2016-08-10,"st9",683,170.75,363.9480178,677.1750252,1008.557009,223
"1639","K",2016-08-11,"st9",683,170.75,394.938873,695.6774206,1032.524268,224
"1640","K",2017-07-02,"st9",683,170.75,394.8147726,725.9688525,1049.276753,183
"1641","K",2017-07-03,"st9",683,170.75,381.1058306,696.5388251,1026.492126,184
"1642","K",2017-07-04,"st9",683,170.75,405.2864609,721.3817265,1037.250394,185
"1643","K",2017-07-05,"st9",683,170.75,387.2740581,697.4068859,1024.450326,186
"1644","K",2017-07-06,"st9",683,170.75,395.1723767,698.1425678,1013.519131,187
"1645","K",2017-07-07,"st9",683,170.75,389.9315613,692.7622265,1009.956769,188
"1646","K",2017-07-08,"st9",683,170.75,376.4772676,679.5143293,1000.844032,189
"1647","K",2017-07-11,"st9",683,170.75,393.3524679,722.7996557,1048.562802,192
"1648","K",2017-07-12,"st9",683,170.75,394.0994864,712.4752458,1047.325797,193
"1649","K",2017-07-13,"st9",683,170.75,406.4024456,713.2608291,1044.411808,194
"1650","K",2017-07-15,"st9",683,170.75,351.9989781,691.1815136,1037.706387,196
"1651","K",2017-07-16,"st9",683,170.75,396.9297116,706.1131998,1018.863887,197
"1652","K",2017-07-17,"st9",683,170.75,403.4994745,724.6215414,1044.783921,198
"1653","K",2017-07-19,"st9",683,170.75,350.5776248,698.7618659,1024.135636,200
"1654","K",2017-07-20,"st9",683,170.75,333.8285836,692.9006019,1022.088083,201
"1655","K",2017-07-21,"st9",683,170.75,380.8681348,702.0184575,1023.566114,202
"1656","K",2017-07-22,"st9",683,170.75,375.1176322,690.1412081,1013.789304,203
"1657","K",2017-07-23,"st9",683,170.75,401.0150792,718.0048646,1025.48627,204
"1658","K",2017-07-24,"st9",683,170.75,370.7047633,698.0713989,1028.764297,205
"1659","K",2017-07-25,"st9",683,170.75,409.0229424,705.9882504,1018.385519,206
"1660","K",2017-07-26,"st9",683,170.75,399.4173793,712.9817936,1036.480023,207
"1661","K",2017-07-27,"st9",683,170.75,415.5041896,712.9753581,1024.235054,208
"1662","K",2017-07-28,"st9",657.7305328,164.4326332,419.3091182,697.0863027,1008.381118,209
"1663","K",2017-07-29,"st9",668.1708785,167.0427196,381.1792636,660.5043986,969.6725919,210
"1664","K",2017-07-30,"st9",532.9576663,133.2394166,258.6883723,501.2462869,645.7841114,211
"1665","K",2017-07-31,"st9",683,170.75,422.1526645,726.153299,1019.012106,212
"1666","K",2017-08-01,"st9",683,170.75,418.8242784,707.7693086,1018.67312,213
"1667","K",2017-08-02,"st9",683,170.75,407.2334413,718.976499,1015.086104,214
"1668","K",2017-08-03,"st9",683,170.75,413.3015194,702.677039,994.0346563,215
"1669","K",2017-08-04,"st9",683,170.75,393.4599892,695.4911627,1005.52602,216
